File Name,Actual Subtitles
absolute_end.wav,"this is the end, the absolute end"
activity_unproductive.wav,this activity is truly unproductive
AdequateCoverageMale.wav,be careful that you keep adequate coverage but look for places to save money
ah_yes.wav,ah yes
all_systems_go.wav,All systems go
am-i-totally-screwed-or.wav,ladies and gentleman I totally screwed or what
appeal_2_humanity.wav,your appeal to my humanity is pointless
ass_whooped.wav,I don't know nothing about that all I know is is someone gonna get their ass whooped over this one
available.wav,Available now
back_4_more_fun.wav,hello back for more fun are we
backrub2.wav,I just wanted a backrub and I wanted to know if youre available
bad_boy2.wav,What a bad boy you are
bad_taste_sil.wav,I think that's in very bad taste
bad_time.wav,did I come at a bad time
bah_humbug.wav,bah humbug
beat_it_hippy.wav,beat it you hippy
been_bad.wav,we been bad
begging.wav,im begging you
best_4_less.wav,the best for less
best_prices.wav,best prices guarenteed
big_dogs.wav,"if you want to run with the big dogs, stop pooping like a puppy"
boo_yah.wav,Boo yah
bow_wow.wav,"bow wow, bow wow wow"
box_of_hair.wav,you guys are dumber than a box of hair
BreakMale_sil.wav,"but, what if somebody decides to break"
breathing_down_neck.wav,stop breathing down my neck
burp.wav,burp
buy_confidence.wav,buy with confidence
buy_one_free.wav,buy one get one free
buy_two.wav,buy two get one free
can_hardly_wait.wav,aha I can hardly wait
cant_go_on.wav,no I cant go on
can-you-get-it.wav,can you get it
can-you-keep-a-secret.wav,can you keep a secret
cat_flat.wav,the more you run over a dead cat the flatter it gets
cat_got_tongue.wav,hey whats the matter honey cat go your tongue
chamber_no_exit.wav,this chamber has no windows and no doors
check_out_whats_new.wav,check out whats new
crappy.wav,well that looks pretty crappy
dinner-is-served.wav,dinner is served
dont_tell.wav,Shh don't tell anyone
enough_of_you.wav,I have had enough of you
get-away-from-me.wav,get away from me
go.wav,"go, youre done, finished, that's it, goodbye"
go_away.wav,go away
good_little_girl.wav,have you been a good little girl
hi-cutiepie.wav,hi cutie pie
HiringTheWifeMale.wav,hiring the wife for ones company may win her taxated retirement income
hot-stuff-coming-up.wav,hot stuff coming up
how-dare-you.wav,how dare you
i-cant-stand-you.wav,Oh I cant stand you
ill-tell-you-what-i-think.wav,I'll tell you what I think
i-think-that-this-is.wav,I think that this is your way of telling me something
it-smells-really-good.wav,it smells really good
its-your-sweetheart-again.wav,if your sweetheart again
ive-been-doing.wav,I've been doing a lot of thinking
i-wanna-discuss.wav,I want to discuss all this Behavior
oh-yeah-everything-is-fine.wav,oh ya everything is fine
SquaredAwayMale.wav,maybe it's taking longer to get things squared away than the bankers expect
tests_audio-mono-16-bit-44100Hz.wav,123
WhatADiscussionMale.wav,what is discussion can ensue when the title of this type of song is in question
you-are-acting-so-weird.wav,you are acting so weird and immature
you-call-that-fun.wav,"fun, you call that fun that was boring"
you-call-that-fun_sil.wav,"fun, you call that fun that was boring"
you-can-do-it.wav,you can do it
you-dont-know-how.wav,you don't know how to have fun
you-know-what-im-talking.wav,you know what I'm talking about
you-look-so-handsome.wav,you would look so handsome
you-need-to-grow-up.wav,you need to grow up
youre-funny-2.wav,you're funny
youre-on-the-right-track.wav,you're on the right track
you-silly-thing.wav,silly thing
youve-been-acting.wav,you've been acting really weird lately
youve-been-a-very-good.wav,you've been a very good boy
you-wanna-come-in.wav,you want to come in
